"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,93,21654,90,23,1516666
2023-06-01,yandex,cpc,prof-frontend,71,57138,66,10,980159
2023-06-01,yandex,cpc,prof-python,44,33026,44,7,613196
2023-06-01,yandex,cpc,base-python,27,12524,24,8,547928
2023-06-01,vk,cpc,freemium-frontend,98,3160,56,7,391017
2023-06-01,vk,cpc,prof-python,82,2028,51,5,355564
2023-06-01,yandex,cpc,base-frontend,33,18061,32,3,268515
2023-06-01,vk,cpc,prof-java,58,3115,30,2,232726
2023-06-01,yandex,cpc,prof-professions-brand,15,4818,15,4,230307
2023-06-01,yandex,cpc,prof-java,43,29490,43,3,221240
2023-06-20,telegram,cpp,base-java,3,,1,1,151192
2023-06-01,yandex,cpc,dod-php,3,5964,3,1,150255
2023-06-01,yandex,cpc,prof-data-analytics,13,10086,13,1,144244
2023-06-01,vk,cpc,freemium-python,48,980,29,2,135660
2023-06-01,yandex,cpc,base-java,16,19252,16,1,120000
